date,cases_cum,cases,deaths_cum,deaths
2020-08-07,4952718,61157,160981,1356
2020-08-08,5007958,55240,161947,966
2020-08-09,5056438,48480,162486,539
2020-08-10,5103611,47173,163023,537
2020-08-11,5156968,53357,164474,1451
2020-08-12,5211246,54278,165952,1478
2020-08-13,5265307,54061,167165,1213
2020-08-14,5324784,59477,168341,1176
2020-08-15,5375527,50743,169400,1059
2020-08-16,5417664,42137,169914,514
2020-08-17,5455187,37523,170449,535
2020-08-18,5498420,43233,171798,1349
2020-08-19,5541433,43013,173093,1295
2020-08-20,5587462,46029,174136,1043
2020-08-21,5636491,49029,175297,1161
2020-08-22,5681517,45026,176247,950
2020-08-23,5713850,32333,176693,446
2020-08-24,5754254,40404,177197,504
2020-08-25,5793437,39183,178410,1213
2020-08-26,5838756,45319,179603,1193
2020-08-27,5884366,45610,180729,1126
2020-08-28,5930930,46564,181739,1010
2020-08-29,5975540,44610,182610,871
2020-08-30,6008970,33430,182984,374
2020-08-31,6045455,36485,183472,488
2020-09-01,6089504,44049,184563,1091
2020-09-02,6121948,32444,185639,1076
2020-09-03,6168342,46394,186717,1078
2020-09-04,6220446,52104,187697,980
2020-09-05,6262700,42254,188409,712
2020-09-06,6292699,29999,188820,411
2020-09-07,6317865,25166,189083,263
2020-09-08,6346806,28941,189541,458
2020-09-09,6380138,33332,190716,1175
2020-09-10,6418198,38060,191631,915
2020-09-11,6465766,47568,192858,1227
2020-09-12,6504870,39104,193559,701
2020-09-13,6538213,33343,193958,399
2020-09-14,6575100,36887,194408,450
2020-09-15,6614317,39217,195689,1281
2020-09-16,6653585,39268,196686,997
2020-09-17,6698895,45310,197535,849
2020-09-18,6747782,48887,198484,949
2020-09-19,6789593,41811,199154,670
2020-09-20,6825949,36356,199367,213
2020-09-21,6880899,54950,199797,430
2020-09-22,6918290,37391,200738,941
2020-09-23,6959841,41551,201828,1090
2020-09-24,7005043,45202,202713,885
2020-09-25,7059624,54581,203566,853
2020-09-26,7102321,42697,204335,769
2020-09-27,7139619,37298,204602,267
2020-09-28,7176979,37360,204952,350
2020-09-29,7220676,43697,205878,926
2020-09-30,7262734,42058,206852,974
2020-10-01,7309152,46418,207699,847
2020-10-02,7362563,53411,208564,865
2020-10-03,7410342,47779,209273,709
2020-10-04,7445405,35063,209606,333
2020-10-05,7507699,62294,210035,429
2020-10-06,7550563,42864,210756,721
2020-10-07,7603547,52984,211752,996
2020-10-08,7659922,56375,212680,928
2020-10-09,7718881,58959,213595,915
2020-10-10,7770467,51586,214187,592
2020-10-11,7815233,44766,214606,419
2020-10-12,7863239,48006,214957,351
2020-10-13,7917598,54359,215783,826
2020-10-14,7977470,59872,216792,1009
2020-10-15,8042797,65327,217585,793
2020-10-16,8113261,70464,218476,891
2020-10-17,8166022,52761,219154,678
2020-10-18,8213904,47882,219541,387
2020-10-19,8279279,65375,220058,517
2020-10-20,8339867,60588,220987,929
2020-10-21,8404058,64191,222195,1208
2020-10-22,8479122,75064,223023,828
2020-10-23,8564207,85085,223948,925
2020-10-24,8642963,78756,224821,873
2020-10-25,8702675,59712,225160,339
2020-10-26,8777118,74443,225698,538
2020-10-27,8851546,74428,226681,983
2020-10-28,8933448,81902,227697,1016
2020-10-29,9024176,90728,228701,1004
2020-10-30,9123960,99784,229672,971
2020-10-31,9208245,84285,230510,838
2020-11-01,9282481,74236,230937,427
2020-11-02,9376123,93642,231477,540
2020-11-03,9468722,92599,232607,1130
2020-11-04,9576594,107872,234223,1616
2020-11-05,9698098,121504,235331,1108
2020-11-06,9830895,132797,236554,1223
2020-11-07,9957051,126156,237567,1013
